[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
11522 - 1 : 34
572 - 2 : 65
5216 - 3 : 16
2545 - 4 : 28
1349 - 5 : 66
12285 - 6 : 19
11064 - 7 : 48
2697 - 8 : 20
13243 - 9 : 88
1957 - 10 : 149
11252 - 11 : 16
11676 - 12 : 106
3376 - 13 : 22
13075 - 14 : 13
8913 - 15 : 48
1753 - 16 : 30
11651 - 17 : 42
12008 - 18 : 24
8456 - 19 : 171
6511 - 20 : 29
4926 - 21 : 62
2526 - 22 : 13
12243 - 23 : 72
12705 - 24 : 74
7915 - 25 : 99
2757 - 26 : 42
6806 - 27 : 49
2517 - 28 : 15
2110 - 29 : 57
7823 - 30 : 163
2395 - 31 : 28
4469 - 32 : 35
11732 - 33 : 21
12599 - 34 : 87
10237 - 35 : 44
1781 - 36 : 65
4085 - 37 : 37
4613 - 38 : 24
12430 - 39 : 114
5987 - 40 : 48
8620 - 41 : 28
2793 - 42 : 99
8010 - 43 : 46
7061 - 44 : 124
10786 - 45 : 61
9724 - 46 : 94
346 - 47 : 55
2038 - 48 : 75
5156 - 49 : 57
6271 - 50 : 95
6220 - 51 : 42
9308 - 52 : 20
8392 - 53 : 63
4580 - 54 : 23
10740 - 55 : 83
3552 - 56 : 16
10756 - 57 : 60
11476 - 58 : 25
9026 - 59 : 32
7002 - 60 : 22
2661 - 61 : 26
1919 - 62 : 108
1616 - 63 : 158
1290 - 64 : 74
7414 - 65 : 27
6922 - 66 : 17
5061 - 67 : 11
1953 - 68 : 65
3830 - 69 : 53
6240 - 70 : 36
11563 - 71 : 39
10247 - 72 : 12
234 - 73 : 137
9985 - 74 : 69
9631 - 75 : 21
1301 - 76 : 64
11912 - 77 : 31
4673 - 78 : 103
4727 - 79 : 103
7550 - 80 : 56
7046 - 81 : 41
9750 - 82 : 72
12971 - 83 : 41
2582 - 84 : 15
12896 - 85 : 37
22 - 86 : 46
12706 - 87 : 11
2197 - 88 : 27
9783 - 89 : 103
9191 - 90 : 66
552 - 91 : 35
8402 - 92 : 13
6699 - 93 : 76
11146 - 94 : 30
3188 - 95 : 58
417 - 96 : 130
9839 - 97 : 113
3751 - 98 : 38
2972 - 99 : 64
5706 - 100 : 66
11379 - 101 : 40
412 - 102 : 70
2422 - 103 : 40
6241 - 104 : 35
5893 - 105 : 21
8434 - 106 : 106
1791 - 107 : 28
7061 - 108 : 18
7796 - 109 : 141
1607 - 110 : 30
1019 - 111 : 28
2340 - 112 : 59
2575 - 113 : 79
11496 - 114 : 14
1915 - 115 : 38
381 - 116 : 160
7814 - 117 : 61
515 - 118 : 94
7287 - 119 : 40
376 - 120 : 19
5782 - 121 : 16
2921 - 122 : 22
621 - 123 : 116
1208 - 124 : 11
9156 - 125 : 70
13152 - 126 : 13
8427 - 127 : 20
10985 - 128 : 68
11620 - 129 : 11
6901 - 130 : 94
9751 - 131 : 145
1846 - 132 : 40
3094 - 133 : 41
3166 - 134 : 38
3051 - 135 : 47
1080 - 136 : 20
1284 - 137 : 17
4004 - 138 : 39
12502 - 139 : 40
859 - 140 : 54
7220 - 141 : 205
8481 - 142 : 22
494 - 143 : 23
11341 - 144 : 24
5589 - 145 : 49
8240 - 146 : 48
11232 - 147 : 34
2098 - 148 : 39
4692 - 149 : 70
182 - 150 : 98
4337 - 151 : 47
112 - 152 : 49
4786 - 153 : 37
2135 - 154 : 192
10972 - 155 : 73
6434 - 156 : 18
936 - 157 : 43
11415 - 158 : 12
3586 - 159 : 25
3204 - 160 : 33
4620 - 161 : 26
8407 - 162 : 18
